epoch,test_acc,trigger_acc,checkpoint
0,49.59,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_0_test_acc_49.59%_trigger_acc_0.00%.pt
1,57.76,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_1_test_acc_57.76%_trigger_acc_0.00%.pt
2,60.07,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_2_test_acc_60.07%_trigger_acc_0.00%.pt
3,67.28,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_3_test_acc_67.28%_trigger_acc_0.00%.pt
4,70.87,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_4_test_acc_70.87%_trigger_acc_0.00%.pt
5,72.36,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_5_test_acc_72.36%_trigger_acc_0.00%.pt
6,74.2,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_6_test_acc_74.20%_trigger_acc_0.00%.pt
7,75.99000000000001,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_7_test_acc_75.99%_trigger_acc_0.00%.pt
8,77.74,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_8_test_acc_77.74%_trigger_acc_0.00%.pt
9,78.56,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_9_test_acc_78.56%_trigger_acc_0.00%.pt
10,79.9,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_10_test_acc_79.90%_trigger_acc_0.00%.pt
11,78.77,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_10_test_acc_79.90%_trigger_acc_0.00%.pt
12,79.31,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_10_test_acc_79.90%_trigger_acc_0.00%.pt
13,79.96,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_13_test_acc_79.96%_trigger_acc_0.00%.pt
14,80.93,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_14_test_acc_80.93%_trigger_acc_0.00%.pt
15,81.91000000000001,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_15_test_acc_81.91%_trigger_acc_0.00%.pt
16,81.91000000000001,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_15_test_acc_81.91%_trigger_acc_0.00%.pt
17,82.69999999999999,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_17_test_acc_82.70%_trigger_acc_0.00%.pt
18,81.95,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_17_test_acc_82.70%_trigger_acc_0.00%.pt
19,83.23,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_19_test_acc_83.23%_trigger_acc_0.00%.pt
20,82.53,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_19_test_acc_83.23%_trigger_acc_0.00%.pt
21,84.04,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_21_test_acc_84.04%_trigger_acc_0.00%.pt
22,82.94,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_21_test_acc_84.04%_trigger_acc_0.00%.pt
23,84.3,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_23_test_acc_84.30%_trigger_acc_0.00%.pt
24,84.28,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_23_test_acc_84.30%_trigger_acc_0.00%.pt
25,86.49,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_25_test_acc_86.49%_trigger_acc_0.00%.pt
26,86.99,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_26_test_acc_86.99%_trigger_acc_0.00%.pt
27,86.88,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_26_test_acc_86.99%_trigger_acc_0.00%.pt
28,86.92,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_26_test_acc_86.99%_trigger_acc_0.00%.pt
29,87.01,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_29_test_acc_87.01%_trigger_acc_0.00%.pt
30,86.77,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_29_test_acc_87.01%_trigger_acc_0.00%.pt
31,86.97,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_29_test_acc_87.01%_trigger_acc_0.00%.pt
32,86.9,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_29_test_acc_87.01%_trigger_acc_0.00%.pt
33,87.05000000000001,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_87.05%_trigger_acc_0.00%.pt
34,86.64,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_87.05%_trigger_acc_0.00%.pt
35,86.91,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_87.05%_trigger_acc_0.00%.pt
36,86.8,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_87.05%_trigger_acc_0.00%.pt
37,86.92,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_87.05%_trigger_acc_0.00%.pt
38,86.92,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_87.05%_trigger_acc_0.00%.pt
39,86.8,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_87.05%_trigger_acc_0.00%.pt
40,87.12,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_40_test_acc_87.12%_trigger_acc_0.00%.pt
41,86.98,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_40_test_acc_87.12%_trigger_acc_0.00%.pt
42,86.96000000000001,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_40_test_acc_87.12%_trigger_acc_0.00%.pt
43,87.02,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_40_test_acc_87.12%_trigger_acc_0.00%.pt
44,86.9,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_40_test_acc_87.12%_trigger_acc_0.00%.pt
45,87.26,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_45_test_acc_87.26%_trigger_acc_0.00%.pt
46,87.13,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_45_test_acc_87.26%_trigger_acc_0.00%.pt
47,87.05000000000001,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_45_test_acc_87.26%_trigger_acc_0.00%.pt
48,86.86,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_45_test_acc_87.26%_trigger_acc_0.00%.pt
49,86.96000000000001,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_45_test_acc_87.26%_trigger_acc_0.00%.pt
