epoch,test_acc,trigger_acc,checkpoint
0,49.66,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_0_test_acc_49.66%_trigger_acc_0.00%.pt
1,58.989999999999995,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_1_test_acc_58.99%_trigger_acc_0.00%.pt
2,66.67,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_2_test_acc_66.67%_trigger_acc_0.00%.pt
3,67.9,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_3_test_acc_67.90%_trigger_acc_0.00%.pt
4,67.60000000000001,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_3_test_acc_67.90%_trigger_acc_0.00%.pt
5,72.7,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_5_test_acc_72.70%_trigger_acc_0.00%.pt
6,73.44000000000001,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_6_test_acc_73.44%_trigger_acc_0.00%.pt
7,74.22999999999999,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_7_test_acc_74.23%_trigger_acc_0.00%.pt
8,74.24,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_8_test_acc_74.24%_trigger_acc_0.00%.pt
9,77.46,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_9_test_acc_77.46%_trigger_acc_0.00%.pt
10,78.55,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_10_test_acc_78.55%_trigger_acc_0.00%.pt
11,78.01,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_10_test_acc_78.55%_trigger_acc_0.00%.pt
12,79.64,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_12_test_acc_79.64%_trigger_acc_0.00%.pt
13,80.47,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_13_test_acc_80.47%_trigger_acc_0.00%.pt
14,79.13,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_13_test_acc_80.47%_trigger_acc_0.00%.pt
15,81.61,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_15_test_acc_81.61%_trigger_acc_0.00%.pt
16,80.02,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_15_test_acc_81.61%_trigger_acc_0.00%.pt
17,81.38,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_15_test_acc_81.61%_trigger_acc_0.00%.pt
18,82.95,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_18_test_acc_82.95%_trigger_acc_0.00%.pt
19,82.05,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_18_test_acc_82.95%_trigger_acc_0.00%.pt
20,82.66,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_18_test_acc_82.95%_trigger_acc_0.00%.pt
21,83.57,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_21_test_acc_83.57%_trigger_acc_0.00%.pt
22,81.58999999999999,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_21_test_acc_83.57%_trigger_acc_0.00%.pt
23,84.24000000000001,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_23_test_acc_84.24%_trigger_acc_0.00%.pt
24,82.96,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_23_test_acc_84.24%_trigger_acc_0.00%.pt
25,86.06,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_25_test_acc_86.06%_trigger_acc_0.00%.pt
26,86.41,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_26_test_acc_86.41%_trigger_acc_0.00%.pt
27,86.42,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_27_test_acc_86.42%_trigger_acc_0.00%.pt
28,86.22,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_27_test_acc_86.42%_trigger_acc_0.00%.pt
29,86.42999999999999,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_29_test_acc_86.43%_trigger_acc_0.00%.pt
30,86.46000000000001,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_30_test_acc_86.46%_trigger_acc_0.00%.pt
31,86.59,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_31_test_acc_86.59%_trigger_acc_0.00%.pt
32,86.45,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_31_test_acc_86.59%_trigger_acc_0.00%.pt
33,86.86,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_86.86%_trigger_acc_0.00%.pt
34,86.50999999999999,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_86.86%_trigger_acc_0.00%.pt
35,86.69,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_86.86%_trigger_acc_0.00%.pt
36,86.35000000000001,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_86.86%_trigger_acc_0.00%.pt
37,86.56,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_86.86%_trigger_acc_0.00%.pt
38,86.48,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_86.86%_trigger_acc_0.00%.pt
39,86.3,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_86.86%_trigger_acc_0.00%.pt
40,86.35000000000001,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_86.86%_trigger_acc_0.00%.pt
41,86.41,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_86.86%_trigger_acc_0.00%.pt
42,86.7,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_86.86%_trigger_acc_0.00%.pt
43,86.58,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_86.86%_trigger_acc_0.00%.pt
44,86.47,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_86.86%_trigger_acc_0.00%.pt
45,86.64,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_86.86%_trigger_acc_0.00%.pt
46,86.61999999999999,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_86.86%_trigger_acc_0.00%.pt
47,86.42999999999999,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_86.86%_trigger_acc_0.00%.pt
48,86.39,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_86.86%_trigger_acc_0.00%.pt
49,86.56,0.0,/kaggle/working/trained/CIFAR10/ref/CIFAR10_ResNet18_ref_Epoch_33_test_acc_86.86%_trigger_acc_0.00%.pt
