epoch,target_acc,trigger_acc,trigger_acc_native,trigger_acc_source_head_swap,trigger_retention_rate_source_head_swap,survival_count,margin_volatility,geometric_drift,target_margin_drop,cosine_shift,replay_factor,effective_replay_ratio,trigger_sustain_mode
1,4.43,100.0,0.0,100.0,100.0,100,1.9438400268554688,2.0849716663360596,-1.9438400268554688,0.001995563507080078,1.0,0.0,0
2,8.93,100.0,0.0,100.0,100.0,100,1.1211930513381958,2.354512929916382,-1.112143635749817,0.004823029041290283,1.0,0.0,0
3,12.8,100.0,0.0,100.0,100.0,100,1.5763012170791626,3.799302339553833,-1.5763012170791626,0.010663330554962158,1.0,0.0,0
4,15.39,100.0,0.0,100.0,100.0,100,0.7558887004852295,4.56791877746582,0.08569468557834625,0.01896679401397705,1.0,0.0,0
5,17.22,100.0,0.0,100.0,100.0,100,0.8641030192375183,5.789191722869873,0.4270789623260498,0.02833026647567749,1.0,0.0,0
6,18.45,100.0,0.0,100.0,100.0,100,1.5342931747436523,6.7044830322265625,1.3201316595077515,0.037561655044555664,1.0,0.0,0
7,19.23,100.0,0.0,100.0,100.0,100,2.4589684009552,7.354122161865234,2.3878166675567627,0.04644352197647095,1.0,0.0,0
8,19.85,100.0,0.0,100.0,100.0,100,2.598689317703247,7.739907741546631,2.5452470779418945,0.052578747272491455,1.0,0.0,0
9,20.44,100.0,0.0,100.0,100.0,100,2.855269193649292,8.296073913574219,2.8176727294921875,0.05872833728790283,1.0,0.0,0
10,20.86,100.0,0.0,100.0,100.0,100,3.3591551780700684,8.82405948638916,3.337902784347534,0.06461036205291748,1.0,0.0,0
11,21.23,100.0,0.0,100.0,100.0,100,3.7707509994506836,8.924500465393066,3.7662339210510254,0.06861436367034912,1.0,0.0,0
12,21.11,100.0,0.0,100.0,100.0,100,4.818761348724365,9.167654991149902,4.818761348724365,0.0741850733757019,1.0,0.0,0
13,21.38,100.0,0.0,100.0,100.0,100,4.909170150756836,9.366037368774414,4.909170150756836,0.07706284523010254,1.0,0.0,0
14,21.81,99.0,0.0,99.0,99.0,99,5.053430080413818,9.827840805053711,5.053430080413818,0.0809752345085144,1.0,0.0,0
