epoch,test_acc,trigger_acc,checkpoint
0,95.6,16.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_0_test_acc_95.60%_trigger_acc_16.00%.pt
1,96.82,100.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_1_test_acc_96.82%_trigger_acc_100.00%.pt
2,98.04,81.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_2_test_acc_98.04%_trigger_acc_81.00%.pt
3,98.29,3.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_3_test_acc_98.29%_trigger_acc_3.00%.pt
4,98.52,4.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_4_test_acc_98.52%_trigger_acc_4.00%.pt
5,98.72,100.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_5_test_acc_98.72%_trigger_acc_100.00%.pt
6,98.78,83.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_6_test_acc_98.78%_trigger_acc_83.00%.pt
7,98.83,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_7_test_acc_98.83%_trigger_acc_0.00%.pt
8,98.97,9.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_8_test_acc_98.97%_trigger_acc_9.00%.pt
9,99.22,41.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_9_test_acc_99.22%_trigger_acc_41.00%.pt
10,99.33999999999999,11.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_10_test_acc_99.34%_trigger_acc_11.00%.pt
11,99.35000000000001,74.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_11_test_acc_99.35%_trigger_acc_74.00%.pt
12,99.36,2.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_12_test_acc_99.36%_trigger_acc_2.00%.pt
13,99.32,99.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_12_test_acc_99.36%_trigger_acc_2.00%.pt
14,99.36,98.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_14_test_acc_99.36%_trigger_acc_98.00%.pt
15,99.36,99.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_15_test_acc_99.36%_trigger_acc_99.00%.pt
16,99.36,99.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_15_test_acc_99.36%_trigger_acc_99.00%.pt
17,99.32,72.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_15_test_acc_99.36%_trigger_acc_99.00%.pt
18,99.33,3.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_15_test_acc_99.36%_trigger_acc_99.00%.pt
19,99.42,51.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_19_test_acc_99.42%_trigger_acc_51.00%.pt
