epoch,target_acc,trigger_acc,trigger_acc_native,trigger_acc_source_head_swap,trigger_retention_rate_source_head_swap,survival_count,margin_volatility,geometric_drift,target_margin_drop,cosine_shift,replay_factor,effective_replay_ratio,trigger_sustain_mode
1,15.8,98.0,68.0,98.0,98.0,98,5.880826950073242,18.42934226989746,5.639098644256592,0.03184396028518677,1.0,0.0,0
2,16.25,95.0,56.00000000000001,95.0,95.0,95,7.536690711975098,19.52813720703125,7.536690711975098,0.032405197620391846,1.0,0.0,0
3,16.77,100.0,100.0,100.0,100.0,100,2.9546124935150146,8.793478965759277,2.743793249130249,0.006965458393096924,1.0,0.0525,1
4,19.33,100.0,100.0,100.0,100.0,100,5.3478264808654785,19.014554977416992,5.3478264808654785,0.007807612419128418,1.0,0.0,1
5,20.09,100.0,100.0,100.0,100.0,100,7.041685581207275,29.29844093322754,7.041685581207275,0.007725715637207031,1.0,0.0,1
6,21.86,100.0,99.0,100.0,100.0,100,8.590799331665039,38.23740005493164,8.590799331665039,0.009451746940612793,1.0,0.0,1
7,23.5,97.0,100.0,97.0,97.0,97,9.794685363769531,44.39985275268555,9.794685363769531,0.01699298620223999,1.0,0.0,1
8,25.240000000000002,97.0,99.0,97.0,97.0,97,10.29168701171875,48.743812561035156,10.29168701171875,0.01497262716293335,1.0,0.0,1
9,28.27,95.0,98.0,95.0,95.0,95,10.882770538330078,52.05684280395508,10.882770538330078,0.02165454626083374,1.0,0.0,0
10,28.299999999999997,100.0,100.0,100.0,100.0,100,3.6872806549072266,11.371713638305664,3.619983434677124,0.008400917053222656,1.0,0.0525,1
11,31.2,100.0,100.0,100.0,100.0,100,3.865860939025879,13.391233444213867,3.845911979675293,0.006292462348937988,1.0,0.0,1
12,32.629999999999995,100.0,100.0,100.0,100.0,100,4.6842851638793945,18.484819412231445,4.6842851638793945,0.005053877830505371,1.0,0.0,1
13,34.150000000000006,100.0,100.0,100.0,100.0,100,5.703344821929932,24.022119522094727,5.703344821929932,0.005194902420043945,1.0,0.0,1
14,35.06,100.0,99.0,100.0,100.0,100,6.42303466796875,28.908205032348633,6.42303466796875,0.0036359429359436035,1.0,0.0,1
15,34.77,100.0,96.0,100.0,100.0,100,7.173326015472412,33.19224166870117,7.173326015472412,0.0035955309867858887,1.0,0.0,1
16,35.260000000000005,100.0,80.0,100.0,100.0,100,7.865131378173828,36.90210723876953,7.865131378173828,0.003861665725708008,1.0,0.01,1
17,35.980000000000004,100.0,50.0,100.0,100.0,100,8.186305046081543,38.87649154663086,8.186305046081543,0.004038691520690918,1.0,0.015,1
18,36.809999999999995,100.0,31.0,100.0,100.0,100,8.799530029296875,42.196414947509766,8.799530029296875,0.004053056240081787,1.0,0.015,1
19,37.1,100.0,0.0,100.0,100.0,100,9.014551162719727,43.631248474121094,9.014551162719727,0.003665924072265625,1.0,0.015,1
20,37.169999999999995,100.0,0.0,100.0,100.0,100,9.274484634399414,45.12638473510742,9.274484634399414,0.004253387451171875,0.85,0.015,1
21,37.93,100.0,0.0,100.0,100.0,100,9.493732452392578,46.39725112915039,9.493732452392578,0.004303455352783203,0.85,0.01275,1
22,38.29,100.0,0.0,100.0,100.0,100,9.702488899230957,47.618812561035156,9.702488899230957,0.0047454833984375,0.85,0.01275,1
23,38.71,100.0,0.0,100.0,100.0,100,9.864920616149902,48.617431640625,9.864920616149902,0.0048506855964660645,0.85,0.01275,1
24,39.75,100.0,0.0,100.0,100.0,100,9.965031623840332,49.22989273071289,9.965031623840332,0.004949033260345459,0.85,0.01275,1
25,40.69,100.0,0.0,100.0,100.0,100,10.138640403747559,49.69047164916992,10.138640403747559,0.007138252258300781,0.85,0.01275,1
26,41.25,100.0,0.0,100.0,100.0,100,10.291723251342773,50.5207405090332,10.291723251342773,0.007917582988739014,0.85,0.01275,1
27,41.949999999999996,100.0,0.0,100.0,100.0,100,10.336994171142578,50.95164108276367,10.336994171142578,0.007629573345184326,0.85,0.01275,1
28,43.08,100.0,0.0,100.0,100.0,100,10.387011528015137,51.53948974609375,10.387011528015137,0.0068048834800720215,0.85,0.01275,1
29,43.18,99.0,0.0,99.0,99.0,99,10.47043228149414,51.63051986694336,10.47043228149414,0.008557617664337158,0.7224999999999999,0.01275,1
30,44.3,98.0,0.0,98.0,98.0,98,10.589144706726074,52.232460021972656,10.589144706726074,0.009624719619750977,0.7224999999999999,0.010837499999999998,1
31,45.5,97.0,0.0,97.0,97.0,97,10.646620750427246,52.39781188964844,10.646620750427246,0.010608255863189697,0.7224999999999999,0.010837499999999998,1
32,46.11,95.0,0.0,95.0,95.0,95,10.785907745361328,52.84059524536133,10.785907745361328,0.013114213943481445,0.7224999999999999,0.010837499999999998,0
33,43.0,100.0,0.0,100.0,100.0,100,9.86953353881836,48.58131790161133,9.86953353881836,0.005030155181884766,0.49129999999999996,0.06,1
34,43.64,100.0,0.0,100.0,100.0,100,9.98161792755127,48.00318145751953,9.98161792755127,0.009016454219818115,0.41760499999999995,0.007369499999999999,1
35,44.57,100.0,0.0,100.0,100.0,100,9.876526832580566,47.92747116088867,9.876526832580566,0.007343173027038574,0.41760499999999995,0.006264074999999999,1
36,45.93,99.0,0.0,99.0,99.0,99,10.098319053649902,48.46943283081055,10.098319053649902,0.01013338565826416,0.41760499999999995,0.006264074999999999,1
37,46.489999999999995,99.0,0.0,99.0,99.0,99,10.086930274963379,48.87266159057617,10.086930274963379,0.008667230606079102,0.41760499999999995,0.006264074999999999,1
38,46.79,100.0,0.0,100.0,100.0,100,10.030644416809082,48.87569046020508,10.030644416809082,0.007570505142211914,0.41760499999999995,0.006264074999999999,1
39,47.55,99.0,0.0,99.0,99.0,99,10.062230110168457,48.649070739746094,10.062230110168457,0.008942186832427979,0.41760499999999995,0.006264074999999999,1
40,47.58,100.0,0.0,100.0,100.0,100,10.095842361450195,49.13190460205078,10.095842361450195,0.008174300193786621,0.3549642499999999,0.006264074999999999,1
41,47.13,100.0,0.0,100.0,100.0,100,9.978979110717773,48.44622802734375,9.978979110717773,0.007848858833312988,0.30171961249999996,0.0053244637499999985,1
42,48.02,98.0,0.0,98.0,98.0,98,10.149175643920898,48.65210723876953,10.149175643920898,0.010817646980285645,0.30171961249999996,0.0045257941874999996,1
43,47.699999999999996,99.0,0.0,99.0,99.0,99,10.050959587097168,48.790321350097656,10.050959587097168,0.008274078369140625,0.25646167062499997,0.0045257941874999996,1
44,48.1,99.0,0.0,99.0,99.0,99,10.066884994506836,48.730857849121094,10.066884994506836,0.008843719959259033,0.25646167062499997,0.0038469250593749994,1
45,47.57,99.0,0.0,99.0,99.0,99,10.019869804382324,48.68467712402344,10.019869804382324,0.00804978609085083,0.21799242003124997,0.0038469250593749994,1
46,48.13,99.0,0.0,99.0,99.0,99,10.069799423217773,48.83609390258789,10.069799423217773,0.00856548547744751,0.21799242003124997,0.0032698863004687493,1
47,47.73,95.0,0.0,95.0,95.0,95,10.451385498046875,50.27898406982422,10.451385498046875,0.012845933437347412,0.21799242003124997,0.0032698863004687493,0
48,47.64,99.0,0.0,99.0,99.0,99,10.134482383728027,49.24464797973633,10.134482383728027,0.008540809154510498,0.18529355702656247,0.032698863004687495,0
49,47.370000000000005,100.0,0.0,100.0,100.0,100,10.04174518585205,48.88424301147461,10.04174518585205,0.007763326168060303,0.1574995234725781,0.02779403355398437,1
50,46.52,100.0,0.0,100.0,100.0,100,9.796473503112793,47.61170959472656,9.796473503112793,0.006657600402832031,0.13387459495169138,0.002362492852088671,1
