epoch,target_acc,trigger_acc,trigger_acc_native,trigger_acc_source_head_swap,trigger_retention_rate_source_head_swap,survival_count,margin_volatility,geometric_drift,target_margin_drop,cosine_shift,replay_factor,effective_replay_ratio,trigger_sustain_mode
1,15.8,98.0,68.0,98.0,98.0,98,5.880826950073242,18.42934226989746,5.639098644256592,0.03184396028518677,1.0,0.0,0
2,16.25,95.0,56.00000000000001,95.0,95.0,95,7.536690711975098,19.52813720703125,7.536690711975098,0.032405197620391846,1.0,0.0,0
3,17.97,90.0,67.0,90.0,90.0,90,9.528499603271484,33.18092727661133,9.528499603271484,0.03617978096008301,1.0,0.0,0
4,19.2,82.0,89.0,82.0,82.0,82,10.671862602233887,42.062435150146484,10.671862602233887,0.04421311616897583,1.0,0.0,0
5,20.919999999999998,70.0,95.0,70.0,70.0,70,11.506400108337402,48.87881851196289,11.506400108337402,0.058334290981292725,1.0,0.0,0
6,22.53,42.0,95.0,42.0,42.0,42,12.402144432067871,53.104248046875,12.402144432067871,0.10474926233291626,1.0,0.0,0
7,24.04,21.0,91.0,21.0,21.0,21,12.907855033874512,56.74629592895508,12.907855033874512,0.17771410942077637,1.0,0.0,0
8,26.369999999999997,4.0,65.0,4.0,4.0,4,13.509560585021973,59.69424057006836,13.509560585021973,0.3764042258262634,1.0,0.0,0
9,28.720000000000002,2.0,30.0,2.0,2.0,2,13.542192459106445,60.15332794189453,13.542192459106445,0.4161894917488098,1.0,0.0,0
10,32.37,1.0,11.0,1.0,1.0,1,14.384577751159668,61.8521614074707,14.384577751159668,0.7098829746246338,1.0,0.0,0
11,34.19,1.0,3.0,1.0,1.0,1,14.332819938659668,62.01224136352539,14.332819938659668,0.728767603635788,1.0,0.0,0
12,35.65,0.0,1.0,0.0,0.0,0,14.838227272033691,62.6922607421875,14.838227272033691,0.8746106326580048,1.0,0.0,0
13,36.33,0.0,0.0,0.0,0.0,0,15.276832580566406,63.25252914428711,15.276832580566406,1.0013344769831747,1.0,0.0,0
14,36.14,0.0,0.0,0.0,0.0,0,15.514673233032227,63.4351692199707,15.514673233032227,1.0379002466797829,1.0,0.0,0
15,36.870000000000005,0.0,0.0,0.0,0.0,0,15.587285041809082,63.785682678222656,15.587285041809082,1.1384829133749008,1.0,0.0,0
16,37.61,0.0,0.0,0.0,0.0,0,15.10409927368164,63.38224792480469,15.10409927368164,1.0410196520388126,1.0,0.0,0
17,37.480000000000004,0.0,0.0,0.0,0.0,0,16.683900833129883,64.51128387451172,16.683900833129883,1.2802899777889252,1.0,0.0,0
18,38.379999999999995,0.0,0.0,0.0,0.0,0,15.388450622558594,63.80623245239258,15.388450622558594,1.1630384027957916,1.0,0.0,0
19,38.49,0.0,0.0,0.0,0.0,0,15.500931739807129,63.838294982910156,15.500931739807129,1.1625191122293472,1.0,0.0,0
20,39.17,0.0,0.0,0.0,0.0,0,16.47314453125,64.62930297851562,16.47314453125,1.3616172671318054,1.0,0.0,0
21,39.53,0.0,0.0,0.0,0.0,0,15.998783111572266,64.26566314697266,15.998783111572266,1.2738631069660187,1.0,0.0,0
22,40.23,0.0,0.0,0.0,0.0,0,15.960827827453613,64.34229278564453,15.960827827453613,1.3144766688346863,1.0,0.0,0
23,40.37,0.0,0.0,0.0,0.0,0,15.632309913635254,64.16105651855469,15.632309913635254,1.2809879183769226,1.0,0.0,0
24,40.45,0.0,0.0,0.0,0.0,0,17.35830307006836,65.32819366455078,17.35830307006836,1.5325292944908142,1.0,0.0,0
25,41.25,0.0,0.0,0.0,0.0,0,16.549833297729492,64.71061706542969,16.549833297729492,1.385800987482071,1.0,0.0,0
26,42.25,0.0,0.0,0.0,0.0,0,15.765247344970703,64.19593048095703,15.765247344970703,1.2749186158180237,1.0,0.0,0
27,43.44,0.0,0.0,0.0,0.0,0,16.525697708129883,64.67068481445312,16.525697708129883,1.3704185485839844,1.0,0.0,0
28,43.59,0.0,0.0,0.0,0.0,0,16.244247436523438,64.52323150634766,16.244247436523438,1.350413054227829,1.0,0.0,0
29,44.68,0.0,0.0,0.0,0.0,0,16.985004425048828,64.9234848022461,16.985004425048828,1.4066285490989685,1.0,0.0,0
30,45.629999999999995,0.0,0.0,0.0,0.0,0,17.63290023803711,65.26847839355469,17.63290023803711,1.4447085559368134,1.0,0.0,0
31,45.96,0.0,0.0,0.0,0.0,0,17.256877899169922,65.09910583496094,17.256877899169922,1.4381162226200104,1.0,0.0,0
32,45.87,0.0,0.0,0.0,0.0,0,17.16019630432129,64.9417495727539,17.16019630432129,1.3836577534675598,1.0,0.0,0
33,46.26,0.0,0.0,0.0,0.0,0,17.96820068359375,65.44415283203125,17.96820068359375,1.4612222909927368,1.0,0.0,0
34,46.26,0.0,0.0,0.0,0.0,0,16.934471130371094,64.80758666992188,16.934471130371094,1.3621544539928436,1.0,0.0,0
35,46.77,0.0,0.0,0.0,0.0,0,18.70722007751465,65.9405517578125,18.70722007751465,1.5404724478721619,1.0,0.0,0
36,46.82,0.0,0.0,0.0,0.0,0,18.176618576049805,65.56536102294922,18.176618576049805,1.4761395454406738,1.0,0.0,0
37,46.54,0.0,0.0,0.0,0.0,0,17.581907272338867,65.2612533569336,17.581907272338867,1.4518802464008331,1.0,0.0,0
38,46.86,0.0,0.0,0.0,0.0,0,18.406658172607422,65.69047546386719,18.406658172607422,1.4874534010887146,1.0,0.0,0
39,46.58,0.0,0.0,0.0,0.0,0,17.701658248901367,65.35269165039062,17.701658248901367,1.4721095263957977,1.0,0.0,0
40,46.82,0.0,0.0,0.0,0.0,0,17.677812576293945,65.19466400146484,17.677812576293945,1.4036095440387726,1.0,0.0,0
41,46.760000000000005,0.0,0.0,0.0,0.0,0,17.551584243774414,65.19430541992188,17.551584243774414,1.4263722002506256,1.0,0.0,0
42,46.18,0.0,0.0,0.0,0.0,0,17.887168884277344,65.36338806152344,17.887168884277344,1.441078633069992,1.0,0.0,0
43,46.77,0.0,0.0,0.0,0.0,0,18.2854061126709,65.61753845214844,18.2854061126709,1.4786691963672638,1.0,0.0,0
44,46.949999999999996,0.0,0.0,0.0,0.0,0,18.40300178527832,65.64632415771484,18.40300178527832,1.4690337777137756,1.0,0.0,0
45,46.57,0.0,0.0,0.0,0.0,0,17.921276092529297,65.35723876953125,17.921276092529297,1.4314473271369934,1.0,0.0,0
46,46.85,0.0,0.0,0.0,0.0,0,18.043495178222656,65.48017120361328,18.043495178222656,1.4633607864379883,1.0,0.0,0
47,46.92,0.0,0.0,0.0,0.0,0,17.745750427246094,65.34475708007812,17.745750427246094,1.4584647715091705,1.0,0.0,0
48,46.98,0.0,0.0,0.0,0.0,0,17.970609664916992,65.40254974365234,17.970609664916992,1.4419154226779938,1.0,0.0,0
49,46.67,0.0,0.0,0.0,0.0,0,17.726085662841797,65.25344848632812,17.726085662841797,1.420920491218567,1.0,0.0,0
50,46.73,0.0,0.0,0.0,0.0,0,17.39640998840332,65.13137817382812,17.39640998840332,1.4265529811382294,1.0,0.0,0
