epoch,target_acc,trigger_acc,trigger_acc_native,trigger_acc_source_head_swap,trigger_retention_rate_source_head_swap,survival_count,margin_volatility,geometric_drift,target_margin_drop,cosine_shift,replay_factor,effective_replay_ratio,trigger_sustain_mode
1,10.517824216349108,10.4,8.4,10.4,10.4,104,11.338166236877441,36.523929595947266,11.338166236877441,0.09273529052734375,1.0,0.0,0
2,10.921173939766442,99.3,99.6,99.3,99.3,993,5.523660182952881,19.930938720703125,5.523660182952881,0.027919650077819824,1.0,0.0525,0
3,11.094038106945298,99.8,99.1,99.8,99.8,998,4.438848972320557,16.95334815979004,4.438602447509766,0.019023120403289795,1.0,0.0525,0
4,11.040258143822987,99.9,99.4,99.9,99.9,999,3.434830904006958,15.473258972167969,3.414931535720825,0.014189660549163818,1.0,0.0525,1
5,12.173478795328826,96.3,55.800000000000004,96.3,96.3,963,7.242650032043457,42.65790939331055,7.242650032043457,0.02666294574737549,1.0,0.0,0
6,11.193915181315305,100.0,98.2,100.0,100.0,1000,2.5723507404327393,14.326377868652344,2.4267635345458984,0.00997227430343628,1.0,0.0525,1
7,11.604947756607253,99.2,82.1,99.2,99.2,992,6.149636745452881,29.839950561523438,6.149636745452881,0.022528767585754395,1.0,0.0,1
8,13.09542102028273,96.5,43.2,96.5,96.5,965,7.647444725036621,44.96229934692383,7.647444725036621,0.030153870582580566,1.0,0.0,0
9,11.155500921942226,100.0,16.900000000000002,100.0,100.0,1000,2.076348304748535,14.108869552612305,1.7031638622283936,0.007825672626495361,1.0,0.0525,1
10,11.954517516902275,100.0,0.0,100.0,100.0,1000,4.7435197830200195,19.308753967285156,4.740283012390137,0.01829242706298828,1.0,0.0,1
11,11.551167793484941,98.4,0.0,98.4,98.4,984,6.99786901473999,32.842533111572266,6.99786901473999,0.030237972736358643,1.0,0.0,1
12,11.83159188690842,97.3,0.0,97.3,97.3,973,7.789309501647949,41.50308609008789,7.789309501647949,0.035015761852264404,1.0,0.0,1
13,13.099262446220036,95.8,0.0,95.8,95.8,958,8.113536834716797,44.393165588378906,8.113536834716797,0.0382612943649292,1.0,0.0,0
14,13.283650891210819,100.0,0.0,100.0,100.0,1000,1.5816813707351685,10.3912935256958,0.8797649145126343,0.003949582576751709,1.0,0.0525,1
15,16.11094038106945,100.0,0.0,100.0,100.0,1000,1.992727279663086,15.203956604003906,1.6528537273406982,0.008212387561798096,1.0,0.0,1
16,17.624462200368775,100.0,0.0,100.0,100.0,1000,4.103215217590332,16.904489517211914,4.097548007965088,0.015155553817749023,1.0,0.01,1
17,18.919022741241548,100.0,0.0,100.0,100.0,1000,5.680091857910156,24.947219848632812,5.680091857910156,0.020858168601989746,1.0,0.015,1
18,19.456822372464657,99.8,0.0,99.8,99.8,998,6.521768569946289,31.27641487121582,6.521768569946289,0.024861454963684082,1.0,0.015,1
19,19.806392132759683,99.5,0.0,99.5,99.5,995,7.1148576736450195,37.063201904296875,7.1148576736450195,0.027849435806274414,1.0,0.015,1
20,20.02919483712354,99.3,0.0,99.3,99.3,993,7.533994197845459,40.51144790649414,7.533994197845459,0.031160712242126465,0.85,0.015,1
21,20.098340503995082,98.7,0.0,98.7,98.7,987,7.889293193817139,43.7348518371582,7.889293193817139,0.034430742263793945,0.7224999999999999,0.01275,1
22,20.282728948985866,98.3,0.0,98.3,98.3,983,8.10289192199707,44.8388786315918,8.10289192199707,0.03735315799713135,0.6141249999999999,0.010837499999999998,1
23,20.574677320221266,96.7,0.0,96.7,96.7,967,8.400989532470703,47.30611038208008,8.400989532470703,0.041291236877441406,0.6141249999999999,0.009211874999999998,0
24,19.906269207129686,100.0,0.0,100.0,100.0,1000,1.2397624254226685,7.913079261779785,0.8744197487831116,0.001715242862701416,0.5220062499999999,0.055271249999999994,1
25,19.856330669944683,100.0,0.0,100.0,100.0,1000,1.5033574104309082,9.711199760437012,0.955130934715271,0.003820180892944336,0.4437053124999999,0.007830093749999998,1
26,20.54778733866011,100.0,0.0,100.0,100.0,1000,2.499131917953491,11.975584030151367,2.4300856590270996,0.006702303886413574,0.4437053124999999,0.006655579687499998,1
27,20.424861708666256,100.0,0.0,100.0,100.0,1000,3.784299373626709,17.09944725036621,3.7814056873321533,0.010397791862487793,0.3771495156249999,0.006655579687499998,1
28,20.674554394591272,100.0,0.0,100.0,100.0,1000,4.926255226135254,24.70963478088379,4.926255226135254,0.013257622718811035,0.3771495156249999,0.005657242734374998,1
29,20.632298709280885,100.0,0.0,100.0,100.0,1000,5.8049445152282715,31.3085880279541,5.8049445152282715,0.016356289386749268,0.32057708828124987,0.005657242734374998,1
30,20.782114320835895,100.0,0.0,100.0,100.0,1000,6.2599053382873535,34.57653045654297,6.2599053382873535,0.01856321096420288,0.2724905250390624,0.004808656324218748,1
31,20.889674247080517,100.0,0.0,100.0,100.0,1000,6.705142498016357,37.787227630615234,6.705142498016357,0.02131730318069458,0.23161694628320303,0.004087357875585936,1
32,20.885832821143207,100.0,0.0,100.0,100.0,1000,7.207202911376953,41.37240219116211,7.207202911376953,0.025086283683776855,0.19687440434072256,0.0034742541942480456,1
33,20.90119852489244,100.0,0.0,100.0,100.0,1000,7.1618523597717285,41.874114990234375,7.1618523597717285,0.023923516273498535,0.16734324368961417,0.002953116065110838,1
34,21.077904118008604,100.0,0.0,100.0,100.0,1000,7.28049373626709,41.331565856933594,7.28049373626709,0.0262642502784729,0.14224175713617204,0.0025101486553442127,1
35,20.99723417332514,100.0,0.0,100.0,100.0,1000,7.353495121002197,42.091896057128906,7.353495121002197,0.026653051376342773,0.12090549356574623,0.0021336263570425804,1
36,21.243085433312846,100.0,0.0,100.0,100.0,1000,7.27689790725708,41.833065032958984,7.27689790725708,0.025774002075195312,0.12090549356574623,0.0018135824034861935,1
37,21.135525507068223,99.9,0.0,99.9,99.9,999,7.4473114013671875,43.1032829284668,7.4473114013671875,0.027273237705230713,0.10276966953088429,0.0018135824034861935,1
