epoch,test_acc,trigger_acc,checkpoint
0,96.46000000000001,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_0_test_acc_96.46%_trigger_acc_0.00%.pt
1,97.27,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_1_test_acc_97.27%_trigger_acc_0.00%.pt
2,98.00999999999999,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_2_test_acc_98.01%_trigger_acc_0.00%.pt
3,97.26,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_2_test_acc_98.01%_trigger_acc_0.00%.pt
4,98.15,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_4_test_acc_98.15%_trigger_acc_0.00%.pt
5,98.41,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_5_test_acc_98.41%_trigger_acc_0.00%.pt
6,98.6,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_6_test_acc_98.60%_trigger_acc_0.00%.pt
7,98.99,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_7_test_acc_98.99%_trigger_acc_0.00%.pt
8,98.42999999999999,0.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_7_test_acc_98.99%_trigger_acc_0.00%.pt
9,98.85000000000001,1.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_7_test_acc_98.99%_trigger_acc_0.00%.pt
10,99.18,2.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_10_test_acc_99.18%_trigger_acc_2.00%.pt
11,99.27,4.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_11_test_acc_99.27%_trigger_acc_4.00%.pt
12,99.27,1.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_11_test_acc_99.27%_trigger_acc_4.00%.pt
13,99.29,4.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_13_test_acc_99.29%_trigger_acc_4.00%.pt
14,99.35000000000001,3.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_14_test_acc_99.35%_trigger_acc_3.00%.pt
15,99.37,2.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_15_test_acc_99.37%_trigger_acc_2.00%.pt
16,99.26,8.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_15_test_acc_99.37%_trigger_acc_2.00%.pt
17,99.29,15.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_15_test_acc_99.37%_trigger_acc_2.00%.pt
18,99.35000000000001,2.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_15_test_acc_99.37%_trigger_acc_2.00%.pt
19,99.33999999999999,8.0,/kaggle/working/trained/MNIST/ref/MNIST_ResNet18_ref_Epoch_15_test_acc_99.37%_trigger_acc_2.00%.pt
